id,name,game_slug,price,release_date,platform,description,developer,publisher,genres
8f6f05aa00fd48cca99d897b593b3e8b,God's Trigger,gods-trigger,1499,2020-08-20T15:00:00.000Z,Windows,"Slay enemies with speed and precision in an over-the-top show of blood and explosions. Play solo or with others, make split-second decisions, dodge bullets, and use weapons and abilities to inflict violence in the most graphic way possible.",One More Level,Techland,"ACTION,INDIE,ROGUE_LIKE"
3f33b68db9ac412597707ab5276965fa,New Super Lucky's Tale,new-super-luckys-tale,2999,2020-08-21T12:00:00.000Z,Windows,"Join Lucky on his thrilling journey through the Book of Ages, a magical artifact that opens doors to amazing worlds. Jump, burrow, and tail swipe your way to victory in this love letter to classic 3D platformers!",Playful Studios,Playful Studios,"ACTION,ADVENTURE,PLATFORMER"
8f338b5867d84354bf01550081b4bb2b,Relicta,relicta,1999,2020-08-24T16:00:00.000Z,Windows,Relicta is a first-person physics-based puzzle game where you need to creatively combine magnetism and gravity to unravel the secrets of Chandra Base.,Mighty Polygon,Ravenscourt,"PUZZLE,NARRATION,SINGLE_PLAYER"
a768c9cd6c2f4d5998aa3e74bf5fe370,Beyond Good & Evil,beyond-good-and-evil,999,2020-08-25T15:00:00.000Z,Windows,"Play as Jade, a young investigative reporter, and expose a terrible government conspiracy. It is up to you and your loyal pig friend Pey'j to save your planet and its inhabitants.",Ubisoft,Ubisoft,"ACTION,ADVENTURE"
5005e6c10c45410a9bc52bca7e1fe960,Might and Magic: Heroes VII - Ultimate Edition,might-and-magic-heroes-7,4499,2020-08-25T15:00:00.000Z,Windows,"Enhance your Might & Magic Heroes VII experience with the Ultimate Edition, including the main game, an exclusive hero, a scenario map, the Lost Tales of Axeoth extensions and the Trial By Fire add-on!",Limbic Entertainment,Ubisoft,"TURN_BASED,STRATEGY"
234c5a3fd58b4cd5ae307a156ef789e3,The Last Campfire,the-last-campfire,1499,2020-08-27T12:00:00.000Z,Windows,"The Last Campfire is an adventure game from Hello Games (No Man's Sky), a story of a lost ember trapped in a puzzling place, searching for meaning and a way home.",Hello Games,Hello Games,"ADVENTURE,PUZZLE,SINGLE_PLAYER"
4fff670a2c5d49e995c1b2775de02fdb,Alluris,alluris,999,2020-08-27T12:00:00.000Z,Windows,"Prepare to embark on a journey like no other in Alluris! Play as a reluctant hero or villain to save the world… or just save a colony of bears from some lumberjacks. In this card-RPG, each card represents a day with two choices! Create a path that is your own!",562 Interactive,562 Interactive,"CARD_GAME,ADVENTURE,RPG"
78192de994c743ff992456fc70e6cd10,HITMAN 3,hitman-3,5999,2020-08-27T15:00:00.000Z,Windows,"Death Awaits. Agent 47 returns in HITMAN 3, the dramatic conclusion to the World of Assassination trilogy.",IO Interactive A/S,IO Interactive A/S,"ACTION,SINGLE_PLAYER,STEALTH"
00ae234a8e4a4a80b6b3c124ae738372,"3 out of 10, EP 4: Thank You For Being An Asset",3-out-of-10-ep-4,0,2020-08-27T15:00:00.000Z,Windows,Big investors are coming to the studio. Can Ben and the team survive Francine's grand plan to impress them?,"Terrible Posture Games, Inc.","Terrible Posture Games, Inc.","COMEDY,ADVENTURE,EXPLORATION"
8c67bf879a9f48f689ab0c86df4f67a6,Shadowrun Returns,shadowrun-returns,1499,2020-08-27T15:00:00.000Z,Windows,"The unique cyberpunk-meets-fantasy world of Shadowrun has gained a huge cult following since its creation. Creator Jordan Weisman returns to the world of Shadowrun, modernizing this classic game setting as a single player, turn-based tactical RPG.",Harebrained Schemes,Paradox Interactive,"TURN_BASED,RPG"
71489603554f452f9d71e93627115939,Shadowrun: Dragonfall - Director’s Cut,shadowrun-dragonfall,1499,2020-08-27T15:00:00.000Z,Windows,"Harebrained Schemes' biggest Shadowrun game to date, and the definitive Shadowrun RPG experience available on PC. A standalone title with tons of new content & improvements!",Harebrained Schemes, Paradox Interactive,"TURN_BASED,STRATEGY,RPG"
80260982798c4573a4241e50229e81b1,Shadowrun Hong Kong - Extended Edition,shadowrun-hong-kong,1999,2020-08-27T15:00:00.000Z,Windows,"Shadowrun: Hong Kong - Extended Edition is the capstone title in Harebrained Schemes' Shadowrun series - and includes the all-new, 6+ hr Shadows of Hong Kong Bonus Campaign.",Harebrained Schemes,Paradox Interactive,"TURN_BASED,INDIE,RPG"
040d6aecf9cd4199abba059d5acfd600,Surgeon Simulator 2,surgeon-simulator-2,1999,2020-08-27T16:00:00.000Z,Windows,TanagerGeneralAudience,Bossa Studios,Bossa Studios,"COMEDY,PHYSICS,CO_OP"
91a881b260bb455d97aeea0d205aa178,Diabotical,diabotical,0,2020-09-03T13:00:00.000Z,Windows,"A free to play, fast-paced multiplayer FPS set in a colorful robot universe. Create your own Eggbot and join the community in playing over 15 game modes and 30 maps.",The GD Studio,The GD Studio,"MULTIPLAYER,FPS,COMPETITIVE"
8185b5be30124bdc93bc46d9174bd114,Spellbreak,spellbreak,0,2020-09-03T14:00:00.000Z,Windows,Spellbreak,Proletariat,Proletariat,"ACTION,MULTIPLAYER,RPG"
f536990dc8164c829b410861caf17add,HITMAN - Game of the Year Edition,hitman,5999,2020-09-03T14:58:00.000Z,Windows,The HITMAN - Game of The Year Edition includes: All missions & locations from the award-winning first season of HITMAN; Patient Zero Bonus campaign; 3 new Themed Escalation Contracts; 3 new Outfits; 3 new Weapons,IO Interactive A/S,IO Interactive A/S,"ACTION,STEALTH"
93646f6055c849cc8c1f34f2292f8040,"3 out of 10, EP 5: The Rig Is Up!",3-out-of-10-ep-5,0,2020-09-03T15:00:00.000Z,Windows,Pylon and Kevin set out on an adventure to fix Pylon's missing... face.,"Terrible Posture Games, Inc.","Terrible Posture Games, Inc.","COMEDY,EXPLORATION,ADVENTURE"
2c328a34978546a487861d442713a8e0,WRC 9 FIA World Rally Championship,wrc-9,2999,2020-09-03T15:00:00.000Z,Windows,The WRC license is back and even better this year with WRC 9. Take part in the Calendar's 3 new rallies and challenge the community with the customisable league system. Then dive into the skin of a co-driver with the astonishing co-op mode.,KT Racing,Nacon,"SIMULATION,RACING,SPORTS"
2bd8c4b180374d258bd86b27fa077d0c,Tony Hawk's™ Pro Skater™ 1 + 2,tony-hawks-pro-skater-1-and-2,3999,2020-09-04T01:00:00.000Z,Windows,"Play the fully-remastered Tony Hawk’s™ Pro Skater™ & Tony Hawk’s™ Pro Skater™ 2 games in one epic collection, rebuilt from the ground up in incredible HD.",Vicarious Visions,Activision,"ACTION,SPORTS"
3971a9b9ba1343f7b548c1199117ba19,Kingdoms of Amalur: Re-Reckoning,kingdoms-of-amalur-re-reckoning,3999,2020-09-08T17:00:00.000Z,Windows,"The hit RPG returns! Remastered with stunning visuals and refined gameplay Re-Reckoning delivers intense, customizable RPG combat inside a sprawling game world."," KAIKO, Big Huge Games", THQ Nordic,"ACTION,RPG,FANTASY"
f5f7971517134ed488fd51974563f5f5,Railway Empire,railway-empire,2999,2020-09-10T15:00:00.000Z,Windows,"In Railway Empire, you will create an elaborate and wide-ranging rail network, purchase over 40 different trains modelled in extraordinary detail, and buy or build railway stations, factories and attractions to keep your network ahead of the competition.",Gaming Minds Studios,Kalypso Media,"STRATEGY,SINGLE_PLAYER,SIMULATION"
72cbf73f83ea4437b142e143a1c78562,Where The Water Tastes Like Wine,where-the-water-tastes-like-wine,1999,2020-09-10T15:00:00.000Z,Windows,"Where the Water Tastes Like Wine is a Narrative-Adventure game about traveling, sharing stories, and surviving manifest destiny. Players wander across a folkloric Depression era United States at their own pace, meeting strangers with their own stories to tell.","Dim Bulb Games,Serenity Forge",Good Shepherd Entertainment,"SINGLE_PLAYER,NARRATION,ADVENTURE"
442ff8be7d644f5686ba64ec5140e93f,As Far As The Eye,as-far-as-the-eye,2499,2020-09-10T16:00:00.000Z,Windows,"Embark on an exciting journey. Build a mobile village and travel with your tribe toward the center of the world, called The Eye. This roguelike turn-based resource-management game is made of procedural situations, natural events, skill-trees and hard choices.",Unexpected Studio,Goblinz Studio,"STRATEGY,SIMULATION,TURN_BASED"
0c4c8698988c41c6bdfd811ffccf4384,The Unfinished Swan,the-unfinished-swan,1499,2020-09-10T16:00:00.000Z,Windows,"From the creators of What Remains of Edith Finch. Enter the surreal world of The Unfinished Swan and explore a mysterious, hidden kingdom by splatting paint to reveal the world around you.",Giant Sparrow,Annapurna Interactive,"INDIE,FIRST_PERSON,ADVENTURE"
0e8695f8a0a648a78f20e3412cd501e5,Path of Exile,path-of-exile,0,2020-09-16T15:00:00.000Z,Windows,"You are an Exile, struggling to survive on the dark continent of Wraeclast, as you fight to earn power to exact your revenge against those who wronged you. Created by hardcore gamers, Path of Exile is an online Action RPG set in a dark fantasy world.",Grinding Gear Games,Grinding Gear Games,"ACTION,RPG"
0d25ff58568a41feb949ef3fc7cf8e13,Stick It To The Man!,stick-it-to-the-man,799,2020-09-17T15:00:00.000Z,Windows,"Hard hat tester, Ray, has a bizarre accident and wakes up with a giant pink spaghetti arm sticking out of his brain! With his awesome new powers he can read minds and change the world with stickers but he’s on the run for a crime he didn’t commit.",Zoink,Ripstone,"ACTION,PLATFORMER,ADVENTURE"
