id,operacional_system,processor,memory,graphics,fk_game_id
XP SP2,Intel Pentium D 2.6 GHz | AMD Athlon 64 X2 3800+ 2.0 GHz,1 GB,Nvidia GeForce 6800 XT ATI Radeon HD 2400 Series 256 MB of VRAM DirectX 9.0c compatible,8 GB,4c81547b81064acfb1902be7b06d6366
Vista,Intel Core 2 Duo 2.2 GHz | AMD Athlon 64 X2 4400+ 2.3 GHz,2 GB,Nvidia GeForce 9600 GT ATI Radeon HD 3800 series 512 MB of VRAM DirectX 10 compatible,8 GB,4c81547b81064acfb1902be7b06d6366
Windows® XP or Vista,1GHz or faster,512+MB RAM,Any 3D graphics accelerator less than 5 years old,100MB,5f82cbea3fdd42e2b9b9dfe8439b96b3
Windows® XP or Vista,1GHz or faster,512+MB RAM,Any 3D graphics accelerator less than 5 years old,100MB,5f82cbea3fdd42e2b9b9dfe8439b96b3
"Windows Vista, 7 or 8 (64-bit only)",Dual Core CPU (2.2+ GHz Dual Core CPU or better) ,2 GB RAM,"DirectX 10, Shader Model 4 compliant graphics cards (GeForce 8800 GT 512 MB, GeForce GTS 250, etc)",10 GB available space,0dfa5a4398bb44c8b1ac34e5f248fab9
Windows 7 or 8 (64-bit only),Any Quad Core or 3.0+ GHz Dual Core CPU,4 GB RAM,DirectX 11 compliant graphics card (GeForce GTX 480 and above),10 GB available space,0dfa5a4398bb44c8b1ac34e5f248fab9
Vista/XP,3Ghz Intel or AMD or any Dual Core,1GB Ram(XP)/2GB Ram,PCI Express SM3 NVidia 6600/ ATI 1300,8GB free space,0f96082fc0b8475db86cba86c8b6a796
TBD,TBD,TBD,TBD,TBD,0f96082fc0b8475db86cba86c8b6a796
Windows XP SP3,1.4 GHz dual core CPU,1 GB RAM,"256 MB GeForce 7600GS, Radeon X1600, or Intel HD Graphics",1.0 GB free hard drive space,e6dfe28ad2644018aa29f67054ff0391
Windows 7 or higher,2.2 GHz dual core CPU,1 GB RAM,"256 MB GeForce 220, Radeon 4550, Intel HD 3000 Graphics",1.0 GB free hard drive space,e6dfe28ad2644018aa29f67054ff0391
Windows Vista,Dual Core 1.6 GHz,2 GB,OpenGL 1.4,140 Mb,e97aca322ee540edac26749e74e94ca1
"Windows XP, Windows Vista or Windows 7",Intel Core 2 Duo 2 GHz or AMD Athlon 64 X2 3800+ - 2x 2000 MHz,1 GB RAM,"NVIDIA 7600, 7800, 8xxx or better, ATI 1950 or better",10 GB,bad91db9e66044fdaf195d6a8e882cdb
"Windows XP, Windows Vista or Windows 7",Quad core CPU 2.7 GHz,2 GB RAM,NVIDIA GeForce 8800 or better; ATI HD3870 or better,10 GB,bad91db9e66044fdaf195d6a8e882cdb
"Windows XP, Vista, 7",Intel Core 2 Duo 2.4 GHz or AMD Athlon X2 4800+,2GB RAM,ATI 3850HD 512 MB or NVIDIA GeForce 8800 GT 512MB,17 GB free hard drive space,1d96b05c04804b4e8df4b376e3c1c490
