id,operacional_system,processor,memory,graphics,fk_game_id
TBD,TBD,TBD,TBD,TBD,1d96b05c04804b4e8df4b376e3c1c490
Windows® 7SP1 / Windows® 8,"2.6 GHz Intel® Core®2 Duo E6700, 3.0Ghz AMD® Athlon64 X2 6000+",4 GB RAM,512 MB DirectX® 10 compliant with Shader Model 4.0 or higher (see supported list),15 GB available space,50ca821abd824c2994ad1798eb8454a6
Windows® 7SP1 / Windows® 8,"2.9 Ghz Intel® Core®i3-530 or better, 3.1 GHz AMD® PhenomII X2",4 GB RAM,"DirectX® 11 compliant, 1024Mb Video/Graphics Card",17 GB available space,50ca821abd824c2994ad1798eb8454a6
Windows XP Service Pack 3,Intel Core 2 Duo 2GHz or equivalent,3 GB RAM,ATI or NVidia card w/ 512 MB RAM,8 GB available space,b4eb01e10f224126b7b4f7a56a65a6ec
Windows 7 64Bit Service Pack 1,Core 2 Duo 2.3 Ghz or equivalent,4 GB RAM,ATI or NVidia card w/ 1024 MB RAM,15 GB available space,b4eb01e10f224126b7b4f7a56a65a6ec
"OPERATING SYSTEM: Windows XP SP3, Vista SP2, Windows 7® SP1, Windows 8 (both 32/64bit versions)",Intel Core®2Duo E2180 @ 2.0 GHz or AMD Athlon™ X2 3800+ @ 2.0 GHz,2 GB,nVidia GeForce® 7900GT or AMD Radeon™ 2900 - See supported List*,4 GB,4daf8ec797014b5eb4a9cdb41d73bb60
"Windows XP SP3, Vista SP2, Windows 7® SP1, Windows 8 (both 32/64bit versions)",Intel Core®2Duo E4400 @ 2.0 GHz or better / AMD Athlon™ X2 4400+ @ 2.3 GHz or better,4GB or more,nVidia GeForce® 8800GT or AMD Radeon™ HD3870) / 512MB VRAM with Shader Model 3.0 or higher - See supported List*,4 GB,4daf8ec797014b5eb4a9cdb41d73bb60
"Windows Vista, Windows 7 SP1, Windows 8/8.1 (32/64bit versions)",Intel Core2Duo E8200 @ 2.6 GHz or AMD Athlon II X2 240 @ 2.8 GHz,2 GB RAM,nVidia GeForce 8800 GT or AMD Radeon HD2900 XT (512MB VRAM with Shader Model 4.0 or higher),3 GB available space,7981b6d8a37142b9aed96155b93ff8da
"Windows Vista, Windows 7 SP1, Windows 8/8.1 (32/64bit versions)",Intel Core2Quad Q8400 @ 2.6 GHz or AMD Athlon II X4 620 @ 2.6 GHz,4 GB RAM,nVidia GeForce GTX260 or AMD Radeon HD4870 (512MB VRAM with Shader Model 4.0 or higher),3 GB available space,7981b6d8a37142b9aed96155b93ff8da
Windows 7 32-bit,Dual Core CPU - 2.6ghz,4 GB RAM,1GB VRAM: Intel HD 3000 GPU / AMD HD 5450 / Nvidia 9400 GT,3 GB available space,9a03fddd502943d2af8c94daeb667b04
Windows 7 32-bit,Dual Core CPU - 2.6ghz,4 GB RAM,1GB VRAM: Intel HD 3000 GPU / AMD HD 5450 / Nvidia 9400 GT,3 GB available space,9a03fddd502943d2af8c94daeb667b04
Windows 7+,1.7 GHz,1 GB,1280x720 Minimum Resolution,200 MB,61b641c3702f4770ac525101b39f0063
Windows 7+,1.7 GHz,1 GB,TBD,200 MB,61b641c3702f4770ac525101b39f0063
"Windows®XP SP3, Windows Vista/7/8 with latest service packs and updates installed",Intel Core 2 Duo or equivalent AMD dual core CPU,2 GB RAM,"NVIDIA GeForce 7600GS or ATI Radeon 1950, 256 Mb RAM",10 GB available space,84505cf3bfd8411288bb15489ca8ed48
Windows XP/Vista/7/8,"Intel i5, 4 x 2.6 GHz or AMD equivalent",4 GB RAM,"NVIDIA GeForce GTX 480 or ATI Radeon HD 5850 or better, 1Gb RAM",10 GB available space,84505cf3bfd8411288bb15489ca8ed48
"Windows 7 SP1, Windows 8/8.1 (64-bit operating system required)",Intel Core i5-2500K @ 3.3 GHz or AMD FX-8350 @ 4.0 GHz,6 GB RAM, NVIDIA GeForce GTX 680 or AMD Radeon HD 7970 (2 GB VRAM),50 GB available space,534710b9b01d46b49a8d31ce5ad8ff36
"Windows 7 SP1, Windows 8/8.1 (64-bit operating system required)",Intel Core i7-3770 @ 3.4 GHz or AMD FX-8350 @ 4.0 GHz or better,8 GB RAM,NVIDIA GeForce GTX 780 or AMD Radeon R9 290X (3 GB VRAM),50 GB available space,534710b9b01d46b49a8d31ce5ad8ff36
Windows® 7 (SP1) / Windows® 8 / Windows® 8.1 / (64-bit only),2.6 GHz Intel® Core™ i5-750 or 3.2 GHz AMD Phenom™ II X4 955,4 GB RAM, NVIDIA GeForce GTX 460 or AMD Radeon HD5850 (1 GB VRAM),30 GB available space,c071ea77ba2f4983b4515eae0f4216b6
Windows® 7 (SP1) / Windows® 8 / Windows® 8.1 / (64-bit only),2.5 GHz Intel® Core™ i5-2400S or 4.0 GHz AMD FX-8350 or better,8 GB RAM, NVIDIA GeForce GTX 680 or AMD Radeon R9 290X or better (2 GB VRAM),30 GB available space,c071ea77ba2f4983b4515eae0f4216b6
Windows XP,Intel Pentium E2180 2.0 GHz,500 MB RAM,Intel HD Graphics 4400,300 MB available space,5de1872a341c4536809185219ef71222
Windows XP,Intel Pentium E2180 2.0 GHz,500 MB RAM,Intel HD Graphics 4400,300 MB available space,5de1872a341c4536809185219ef71222
"Windows Vista, 7 or 8 (64-bit only)",Dual Core CPU (2.2+ GHz Dual Core CPU or better),2 GB RAM,"DirectX 10, Shader Model 4 compliant graphics cards (GeForce 8800 GT 512 MB, GeForce GTS 250, etc)",10 GB available space,bc42dc435f324da6b5e623c4f5a01d6e
Windows 7 or 8 (64-bit only),Any Quad Core or 3.0+ GHz Dual Core CPU,4 GB RAM,DirectX 11 compliant graphics card (GeForce GTX 480 and above),10 GB available space,bc42dc435f324da6b5e623c4f5a01d6e
"Win 7 SP1, Win 8.1 (64-bit Operating System Required)","Intel Core i5-750, 2.67 GHz | AMD Phenom II X4 965, 3.4 GHz",6 GB RAM,Graphics: NVIDIA GeForce GTX 660 (2 GB Memory Minimum) | AMD Radeon HD 7870 (2 GB Memory Minimum),45 GB available space,f036adb25c9347c69344b7642cb31e64
"Win 7 SP1, Win 8.1 (64-bit Operating System Required)","Intel Core i7-3770, 3.4 GHz | AMD FX-8350, 4.0 GHz",8 GB RAM,NVIDIA GeForce GTX 760 - 3 GB Memory Recommended | AMD Radeon HD 7950 - 3 GB Memory Recommended,55 GB available space,f036adb25c9347c69344b7642cb31e64
Windows XP SP3 or Windows Vista SP2 or Windows 7 SP1 or Windows 8 (both 32/64bit versions),Intel Pentium IV 630 @ 3.0 GHz or AMD Athlon64 3000 + @ 1.8 GHz,2 GB RAM,nVidia GeForce 8800 GT or AMD Radeon HD2900 XT (512MB VRAM),2 GB available space,e3fdf1e813a54f44b71f30a411e9c23e
Windows XP SP3 or Windows Vista SP2 or Windows 7 SP1 or Windows 8 (both 32/64bit versions),Intel Core 2 Duo E4400 @ 2.0 GHz or AMD Athlon64 X2 3800+ @ 2 GHz,2 GB RAM,"NVidia GeForce 9600GT or higher, AMD Radeon HD3850 or higher (512MB VRAM with Shader Model 4.0)",2 GB available space,e3fdf1e813a54f44b71f30a411e9c23e
64-bit 10.9. This product is not compatiable with macOS 10.15 Catalina or later.,Core i3 2.4Ghz, 4 GB RAM,NVIDIA GeForce GTX 260 / AMD Radeon HD 5750. OpenGL 3.3,25 GB,4c0ccb5098414557a12a921d8c17acb2
64-bit 10.9. This product is not compatiable with macOS 10.15 Catalina or later.,Core i5 2.4Ghz,8 GB RAM,NVIDIA GeForce GTX 480 / AMD Radeon HD 5970. OpenGL 3.3,25 GB,4c0ccb5098414557a12a921d8c17acb2
XP or later,1.5Ghz CPU,1 GB RAM,graphics card that supports Shader Model 2.0 or greater,200 MB available space,fa12d8a775a14c29863354f05999e621
XP or later,1.5Ghz CPU,1 GB RAM,graphics card that supports Shader Model 2.0 or greater,200 MB available space,fa12d8a775a14c29863354f05999e621
"Windows XP, Windows 7, Windows Vista, Windows 8, Windows 10","Intel® Core™ 2 Duo 2.4 GHz, AMD Athlon™ X2 2.8 GHz, or higher",2GB Ram or higher,"Shader Model 3.0, 512 Vram",2GB Disk Space,73f7ee3f9e5540ff963573b9c3b08744
"Windows XP, Windows 7, Windows Vista, Windows 8, Windows 10","Intel® Core™ 2 Duo 2.4 GHz, AMD Athlon™ X2 2.8 GHz, or higher",2GB Ram or higher,"Shader Model 3.0, 512 Vram",2GB Disk Space,73f7ee3f9e5540ff963573b9c3b08744
"Windows XP, Windows Vista SP1, Windows 7, Windows 8 or Windows 10 (64bit)",2.0Ghz Intel® Core™2 Duo Processor or AMD equivalent,4 GB RAM, NVIDIA 9800 GT 512 MB Video Card or AMD equivalent,13 GB available space,7285f8134497432fa68378ef9efe8dc2
"Windows 7, Windows 8 or Windows 10 (64bit)",Any Quad-core AMD or Intel Processor,8 GB RAM,NVIDIA GeForce GTX 260 512MB Video Card or AMD equivalent,13 GB available space,7285f8134497432fa68378ef9efe8dc2
Windows 7 | Windows 8.1 | Windows 10 | 64 bit only,Intel Core i3 560 @ 3.3 GHz | AMD Phenom II X4 945 @ 3.0 GHz,6 GB RAM,NVIDIA GeForce GTX 460 | AMD Radeon HD 5870 (DirectX-11 compliant with 1GB of VRAM),61 GB available space,9f47dad590a44949b1e2eb519adc0ca1
Windows 7 SP1 | Windows 8.1 | Windows 10 | 64 bit only,Intel Core i5-2500K @ 3.3 GHz | AMD FX-8120 @ 3.1 Ghz,8 GB RAM, NVIDIA GeForce GTX 670 (or GTX 760 / GTX 960) | AMD Radeon HD 7970 (or R9 280x [2GB VRAM] / R9 380 / Fury X),61 GB available space,9f47dad590a44949b1e2eb519adc0ca1
Windows XP Service Pack 3,Core 2 Duo 2GHz or equivalent,3 GB RAM,ATI or NVIDIA card w/512 MB RAM,3 GB available space,96fc42dfd48f4689afa8ddf5227198d5
Windows XP Service Pack 3,Core 2 Duo 2GHz or equivalent,3 GB RAM,ATI or NVIDIA card w/512 MB RAM,3 GB available space,96fc42dfd48f4689afa8ddf5227198d5
Windows 7,"Intel Core2Quad Q6600 2,40 GHz",4 GB RAM, GeForce GTX 650 (1024 MB Ram),4 GB available space,42ccb715787e47f48648159060135ef1
Windows 7," Intel Core I5-4440 3,10 GHz",8 GB RAM,GeForce GTX 660 (2048 MB Ram),4 GB available space,42ccb715787e47f48648159060135ef1
"Windows 7, Windows 8.1, Windows 10 (64-bit versions only)", Intel Core i3-550 | AMD Phenom II X4 955 or equivalent,4 GB RAM,NVIDIA GeForce GTX 460 (1GB VRAM) | AMD Radeon HD 5770 (1GB VRAM) or equivalent,20 GB available space,d6d175fb16614efc92fe6e65eb8638a3
"Windows 7, Windows 8.1, Windows 10 (64-bit versions only)",Intel Core i7-2600K | AMD FX-8350 or equivalent,8 GB RAM,NVIDIA GeForce GTX 780 | AMD Radeon R9 280X or equivalent,20 GB available space,d6d175fb16614efc92fe6e65eb8638a3
"Windows® 7, Windows 8.1, Windows 10 (64-bit versions only)","Intel Core i5-2400 | AMD FX-6100, or better",6 GB RAM,"NVIDIA GeForce GTX 560 with 2 GB VRAM (current equivalent NVIDIA GeForce GTX 760) | AMD Radeon HD 7770 with 2 GB VRAM, or better",40 GB,0779c614dfa54d6b9905199bd5f3c195
Windows 7 SP1 or Windows 8.1 or Windows 10,Dual core from Intel or AMD at 2 GHz or better,2 GB RAM,Video/Graphics Card must be 512 MB or more and should be a DirectX 10 - compatible or DirectX 11 - compatible,5 GB available space,f7246f00b7c44619974b60aa276fa606
Windows 7 and above,1.2 ghz,4 GB RAM,512 mb video memory,2 GB available space,4e7c7a4652c247ab8019906f7d60739c
TBD,TBD,TBD,TBD,TBD,4e7c7a4652c247ab8019906f7d60739c
Windows 7 or later,Intel Core 2 Duo E6320 (2*1866) or equivalent,2GB RAM,GeForce 7600 GS (512 MB) or equivalent,2GB HDD,e820a1ab24ca4bd2b725ba33194489d4
Windows 7 or later,Intel Core 2 Duo E6320 (2*1866) or equivalent,2GB RAM,GeForce 7600 GS (512 MB) or equivalent,2GB HDD,e820a1ab24ca4bd2b725ba33194489d4
Mac OS X 10.13 (High Sierra),2.0 GHz dual i5,4 GB RAM,Intel Iris Pro 5200 1536 MB or AMD Radeon R9 M370X 2GB or Metal-capable equivalent,3 GB available space,73021f8411c9435e8b6f35faacdc2978
Mac OS X 10.15.7 (Catalina),3.1 GHz 4Core Intel i7,8 GB RAM,Radeon Pro 560 4 GB or Metal-capable equivalent,3 GB available space,73021f8411c9435e8b6f35faacdc2978
"Windows 7, 64-bit",3.0GHz CPU Dual Core,4 GB RAM,Geforce GTX 750 / Radeon R7 260X,6 GB available space,dedd448c38d947ab90291540f183378b
"Windows 7, 64-bit",2.4GHz CPU Quad Core,8 GB RAM,Geforce GTX 780 / Radeon R9 290X,6 GB available space,dedd448c38d947ab90291540f183378b
"Windows 7 SP1, Windows 8.1, Windows 10 (64bit versions only)","Intel Core i5 2400s @ 2.5 GHz, AMD FX 6120 @ 3.5 GHz or better",6 GB RAM,"NVIDIA GeForce GTX 660 with 2 GB VRAM or AMD Radeon HD 7870, with 2 GB VRAM or better - See supported List*",50 GB,57001074e2cf4d048839e4a2ebb44d71
"Windows 7 SP1, Windows 8.1, Windows 10 (64bit versions only)","Intel Core i5 3470 @ 3.2 GHz, AMD FX 8120 @ 3.9 GHz",8 GB RAM,"NVIDIA GeForce GTX 780 | AMD Radeon R9 290, with 3GB VRAM or better - See supported List*",50 GB,57001074e2cf4d048839e4a2ebb44d71
"Windows 7, Windows 8, Windows 10", Intel or AMD Dual Core CPU,4 GB RAM,DirectX 10 Feature Level AMD or NVIDIA Card with 1 GB VRAM,36 GB available space,d3f4613cb74c4c38b022c36bb26ead88
"Windows 7, Windows 8, Windows 10", Intel or AMD Dual Core CPU,8 GB RAM,DirectX 11 Feature Level AMD or NVIDIA Card with 1 GB VRAM,36 GB available space,d3f4613cb74c4c38b022c36bb26ead88
Windows 7 SP1 or Windows 8.1 or Windows 10(64 bit versions),Intel Core i5 2400S at 2.5 Ghz or AMD FX-4100 at 3.6 Ghz,6 GB RAM,GeForce GTX 560TI or Radeon R7 260X,25 GB available space,afc09953666043cdbece0b2a65989bc3
Windows 7 SP1 or Windows 8.1 or Windows 10(64 bit versions),Intel Core i7 3770K at 3.5 Ghz or AMD FX-8350 at 4.0 Ghz,8 GB RAM,GeForce GTX 970 or Radeon R9 390,25 GB available space,afc09953666043cdbece0b2a65989bc3
Windows 7 64Bit Service Pack 1,Intel Core 2 Duo 2.4GHz,3 GB RAM,Nvidia GTS 450+ with 1024MB+ VRAM (excluding GT),16 GB available space,e18ee56df6cd425c8615e2709f8e7bb1
Windows 7 64Bit Service Pack 1,Intel Core i5-2500K,3 GB RAM,Nvidia GeForce GTX 960,16 GB available space,e18ee56df6cd425c8615e2709f8e7bb1
Windows 10 (64-bit versions only),Intel Core i3-4150 | AMD FX-4300 or equivalent,4 GB RAM,NVIDIA GeForce GTX950 / GTX1050 with 2 GB VRAM | AMD Radeon R9 270 / R9 370 / RX460 with 2 GB VRAM,90 GB,eb11056108a0450bb70c3fdca459ea8d
"Windows 10, Windows 11 (64-bit versions only)",Intel Core i5-7500 | AMD Ryzen 5 1400 or equivalent, 8 GB RAM,NVIDIA GeForce GTX1080 with 3 GB VRAM or more | AMD Radeon RX580 with 4 GB VRAM or more,90 GB,eb11056108a0450bb70c3fdca459ea8d
Windows 7 SP1 64-bit,Intel Core i3-2125 or AMD A8-6600K,6 GB RAM,GeForce GTX 650 or Radeon HD 5770,6 GB available space,617b64a9631c4df0a66ea8fca480d2b9
Windows 10 64-bit, Intel Core i5-2550 or AMD FX-8120,7 GB RAM,GeForce GTX 660 or Radeon R9 270,8 GB available space,617b64a9631c4df0a66ea8fca480d2b9
"64-Bit Windows 7 Service Pack 1, or Windows 8",Intel Core 2 Duo E6320 (2*1866) or equivalent,2GB RAM,GeForce 7600 GS (512 MB) or equivalent,2GB HDD,11c4b859bfd143d798bf84b8cfe1964f
TBD,TBD,TBD,TBD,TBD,11c4b859bfd143d798bf84b8cfe1964f
Windows Vista SP2 64-bit or later,Intel i3 2125 3.30 GHz or later,2 GB RAM,GeForce GTX 750/AMD Radeon 7790 or later,5 GB available space,b1f4888a7c9b4449b6bfbace4de24a9c
Windows 7 64-bit,Intel Core i5 2310 2.9 GHz / AMD FX-6300,4 GB RAM,GTX 550 Ti 1GB/ Radeon 6950 1GB or better,7700 MB available space,afaa5744cbcd46caa500e342f9f47d84
Windows 10 64-bit,Intel i5 3570k / AMD FX-8350,8 GB RAM,GTX 770 2GB / Radeon R9 280X 3GB or better,7700 MB available space,afaa5744cbcd46caa500e342f9f47d84
Windows 7 64-bit,3.60GHz Intel Core i3-4160,6 GB RAM,"NVIDIA GeForce GTX 480/570/670, ATI Radeon HD 5870/5850",8 GB available space,f094afd81c3c4a3cb565b186e01c3bcd
Windows 7 64-bit and above,3.50GHz Intel Core i5-4690K or AMD FX-9370,8 GB RAM,NVIDIA GeForce GTX 960 or AMD Radeon R7 370,8 GB available space,f094afd81c3c4a3cb565b186e01c3bcd
Windows 7 or higher,Intel Core i3,2 GB RAM,dedicated graphics card (opengl 3.0 support or higher),500 MB available space,498e04695bbd4376ab574a103a4f36dd
Windows 10,Intel Core i7,4 GB RAM,nvidia 960 or higher,500 MB available space,498e04695bbd4376ab574a103a4f36dd
Windows 7+,2.2GHz Dual Core,4 GB RAM,512MB VRAM,1 GB available space,cd44981c3cea431a9a203ff94b132994
Windows 7+,2.2GHz Dual Core,4 GB RAM,512MB VRAM,1 GB available space,cd44981c3cea431a9a203ff94b132994
Windows 7/8/10 (64-bit OS required),"Intel Core 2 Quad Q6600 @ 2.4 GHz, AMD FX 8120 @ 3.1 GHz",4 GB RAM,"NVIDIA GT 630 / 650m, AMD Radeon HD6570 or equivalent",3 GB available space,3f9b7d87d6ea4ac1bb26d49683bd7064
Windows 8/10 (64-bit OS required),"Intel i7 920 @ 2.7 GHz, AMD Phenom II 945 @ 3.0 GHz",8 GB RAM,"NVIDIA GTX 660, Radeon R9-270",3 GB available space,3f9b7d87d6ea4ac1bb26d49683bd7064
Windows 7/8.1/10 x64,Intel Core i5-760 (4 * 2800) or equivalent / AMD Athlon II X4 645 AM3 (4 * 3100) or equivalent,4 GB RAM,GeForce GTX 460 (1024 MB) / Radeon HD 6850 (1024 MB),10 GB available space,42d063eb91874990b29f5b9a3e083673
Windows 7/8.1/10 x64, Intel Core i5-4670K (4 * 3400) or equivalent / AMD FX-6350 (6 * 3900) or equivalent,6 GB RAM,GeForce GTX 660 (2048 MB) / Radeon HD 7970 (3072 MB),10 GB available space,42d063eb91874990b29f5b9a3e083673
"OPERATING SYSTEM: Windows XP SP3, Vista SP2, Windows 7® SP1, Windows 8 (both 32/64bit versions)",Intel Core®2Duo E2180 @ 2.0 GHz or AMD Athlon™ X2 3800+ @ 2.0 GHz,2 GB,nVidia GeForce® 7900GT or AMD Radeon™ 2900 - See supported List*,4 GB,b0f6e38a93634a3bbfa3200c47379558
"Windows XP SP3, Vista SP2, Windows 7® SP1, Windows 8 (both 32/64bit versions)",Intel Core®2Duo E4400 @ 2.0 GHz or better / AMD Athlon™ X2 4400+ @ 2.3 GHz or better,4GB or more,nVidia GeForce® 8800GT or AMD Radeon™ HD3870) / 512MB VRAM with Shader Model 3.0 or higher - See supported List*,4 GB,b0f6e38a93634a3bbfa3200c47379558
"Windows 7 SP1 | Windows 8.1, Windows 10 | 64-bit only",Intel Core i5-2400s @ 2.5 GHz | AMD FX-6350 @ 3.9 GHz or equivalent, 6 GB RAM,NVIDIA GeForce GTX 660 or AMD R9 270 | 2048 MB VRAM with Shader Model 5.0 or better,42 GB available space,db9fd3c0420240ffbccc5141059824b3
"Windows 7 SP1 | Windows 8.1, Windows 10 | 64-bit only",Intel Core i5-2400s @ 2.5 GHz | AMD FX-6350 @ 3.9 GHz or equivalent, 8 GB RAM,NVIDIA GeForce GTX 760 or AMD R9 270 | 2048 MB VRAM with Shader Model 5.0 or better,42 GB available space,db9fd3c0420240ffbccc5141059824b3
Windows XP SP2,1 GHz,512 MB RAM,GeForce 6 or Radeon X1000,680 MB available space,c579aecd34934b8e9ef7e636c0962e5c
Windows XP SP2,1 GHz,512 MB RAM,GeForce 6 or Radeon X1000,680 MB available space,c579aecd34934b8e9ef7e636c0962e5c
Windows 7 or newer,Intel Core i3 M380,2 GB RAM,Intel HD 4000,1300 MB available space,544c18ccadf8466691d8f2a335721b14
TBD,TBD,TBD,TBD,TBD,544c18ccadf8466691d8f2a335721b14
Windows 7 or Windows 10,AMD A8-7600 (3.1 Ghz) OR Intel Core i3 4170 (3.7 Ghz),8 GB RAM,Nvidia GPU GeForce GTX 650 / AMD GPU Radeon HD 6850 / Intel Iris Pro 5200,5 GB available space,95e8b0adb366410c892f8f6fc8ac1bfa
Windows 7 or Windows 10,AMD A8-7600 (3.1 Ghz) OR Intel Core i3 4170 (3.7 Ghz),8 GB RAM,Nvidia GPU GeForce GTX 650 / AMD GPU Radeon HD 6850 / Intel Iris Pro 5200,5 GB available space,95e8b0adb366410c892f8f6fc8ac1bfa
OS 64-bit Windows 7 or 64-bit Windows 8 (8.1) or Windows 10,"Intel CPU Core i5-2500K 3.3GHz, AMD CPU Phenom II X4 940",8 GB RAM,"Nvidia GPU GeForce GTX 660, AMD GPU Radeon HD 7870",70 GB available space,bd15ffd61c1744a295de36c164694e40
OS 64-bit Windows 7 or 64-bit Windows 8 (8.1) or Windows 10,"Intel CPU Core i7 3770 3,4 GHz, AMD CPU AMD FX-8350 4 GHz",16 GB RAM,"Nvidia GPU GeForce GTX 1060, AMD GPU Radeon RX 580",90 GB available space,bd15ffd61c1744a295de36c164694e40
OSX 10.11 or newer,4th Generation Intel i3 CPU or equivalent,4 GB RAM,OpenGL 4.1 (GeForce 600/AMD Radeon 5000 or higher) with 1GB of video RAM,6 GB available space,39516a5b66d04b75b25a810e593b0a97
OSX 10.11 or newer,Fast quad-core CPUs,8 GB RAM,GeForce 970-level GPU with 4GB of video RAM,6 GB available space,39516a5b66d04b75b25a810e593b0a97
Windows 7 64-bit,"Quad-core Intel or AMD processor, 2.5 GHz",4 GB RAM,NVIDIA GeForce GTX 470 or AMD Radeon 6870 HD series card,4 GB available space,0c8b6d95ff2746648ccd356dbf941c12
Windows 7 64-bit,"Quad-core Intel or AMD processor, 2.5 GHz or faster",8 GB RAM,NVIDIA GeForce GTX 780 or AMD R9 290X series card or higher,4 GB available space,0c8b6d95ff2746648ccd356dbf941c12
OSX 10.9.0 or later,Intel Pentium D 830 (2* 3000) or equivalent / AMD Athlon 64 4000+ (2600) or equivalent,1 GB RAM,GeForce 7600 GS (256 MB) / Radeon HD 2400 PRO (256 MB),200 MB available space,c3bb66a9e2064fa580597cee86cbc1df
Windows 7 64Bit,Dual Core 2.4+ GHz,4 GB RAM,GeForce GTX 550 or Equivalent card,4 GB available space,ac2f9bdeb022454aab1ff77b59b2f3ed
Windows 10 64bit,Intel i7 2.5 GHz,8 GB RAM,GeForce GTX 770 or Equivalent card,4 GB available space,ac2f9bdeb022454aab1ff77b59b2f3ed
Windows 7,"Intel(R) Core(TM)2 Quad 2.7 Ghz, AMD Phenom(TM)II X4 3 Ghz",4 GB RAM,"GeForce GTX 260, Radeon HD 5770, 1024 MB, Shader Model 3.0",4 GB available space,19924135f32e4e1aa517f99a72e7cea4
Windows 10,Intel(R) Core(TM) i5,8 GB RAM,GeForce GTX 660,4 GB available space,19924135f32e4e1aa517f99a72e7cea4
Windows 7/8/10 (64 bits),Intel Core i3-2130 (3.4 GHz)/AMD FX-4100 (3.6 GHz),8 GB,"2 GB, GeForce GTX 1050 (Legacy GPU: GeForce GTX 660) / Radeon R7 370",20 GB available space,9afcebbb195348ac96e39954e20ddf33
Windows 7/8/10 (64 bits),Intel Core i7-3930K (3.2 GHz)/AMD Ryzen 5 1600 (3.2 GHz),16 GB,"4 GB, GeForce GeForce GTX 970 / GTX 1060 / Radeon R9 390",20 GB available space,9afcebbb195348ac96e39954e20ddf33
Windows 7 or later,2GHz 64-Bit CPU, 2 GB RAM, Dedicated graphics card with 1GB memory,2 GB available space,dff5698e513d49f4b6823c6472f07137
Windows 10 or later,Intel Core i5-4590 or AMD FX 8350,4 GB RAM,NVIDIA GTX 970 or AMD Radeon R9 290 or higher,2 GB available space,dff5698e513d49f4b6823c6472f07137
Windows 7 (32-bit),Dual Core 2.4Ghz,2 GB RAM,GeForce 8800 GT / AMD HD 6850 / Intel HD Graphics 4400 or above,750 MB available space,e9428ad618aa45f4b3371b8c8c4f9de9
TBD,TBD,TBD,TBD,TBD,e9428ad618aa45f4b3371b8c8c4f9de9
Windows 7 64Bit Service Pack 1,Intel Core 2 Duo 2.8GHz,3 GB RAM,Nvidia GeForce GTS 450 2GB,15 GB available space,ec4808acfd754b4f980daa0b93a56163
