id,operacional_system,processor,memory,graphics,fk_game_id
Windows 10 (32-bit) SP1,Intel® Core™ i5-6400 or AMD equivalent ,4GB,NVIDIA GeForce GTX 650 or AMD Radeon HD 5770 with 1GB VRAM,5 GB,d08a29625c044911aca5848c74ba0e9b
Windows 10 (32-bit) SP1,Intel® Core™ i5-7500 or AMD equivalent,8GB,NVIDIA GeForce GTX 660 or AMD Radeon HD 7850 with 2GB VRAM,5 GB,d08a29625c044911aca5848c74ba0e9b
"Windows 7,8,10", intel i5 1.6GHZ,4GB,intel HD3000,500MB,b1b3e749bc1c445aaa8c496ec3bc5e87
Windows 10,intel i7,4GB,intel HD4000,500MB,b1b3e749bc1c445aaa8c496ec3bc5e87
Windows Vista/7/8/10,Intel® Pentium Dual Core 2.0GHz or equivalent,2 GB RAM,NVIDIA GeForce 9600 GT or equivalent,1 GB available space,7aea960be7dd4d86a9b30cf5daa03eeb
Windows Vista/7/8/10,Intel® Core 2 Duo 2.5GHz or equivalent,4 GB RAM,NVIDIA GeForce GTX 470 or equivalent,1 GB available space,7aea960be7dd4d86a9b30cf5daa03eeb
Windows 7 or above (64-bit Operating System Required),Intel Core i3 2100 or AMD Phenom X4 945,4 Gb of RAM,AMD Radeon HD7790 or Nvidia GeForce GTX 750,30 Gb of free space,206071e112404367b2fbeecd0c986468
Windows 10 64-bit,Intel Core i3 6100 or AMD Athlon X4 845,8 Gb of RAM,AMD Radeon RX560 4GB or Nvidia GeForce GTX 1050,30 Gb of free space,206071e112404367b2fbeecd0c986468
Windows 7 / 8 / 10 64 bit,"AMD FX-8320 (3,5 GHz) / Intel i5-4690K (3,5 GHz) or better",4 GB RAM,GeForce GTX 660 / Radeon R7 370 with 2 GB VRAM,8 GB,674fb1bb36cd442b86df1038d547942d
Windows 7 / 8 / 10 64 bit,"AMD FX-8320 (3,5 GHz) / Intel i5-4690K (3,5 GHz) or better",8 GB RAM,AMD Radeon RX 480 / NVIDIA GeForce GTX 970 with 4 GB VRAM,8 GB,674fb1bb36cd442b86df1038d547942d
Windows XP,Intel Core Solo,128 MB RAM,64MB RAM,200 MB,be3de140fc3749b28215da1626cce8bc
Windows 7,Intel Core Duo 2.0 Ghz and above,512 MB RAM,"256MB RAM, non-integrated",200 MB,be3de140fc3749b28215da1626cce8bc
Windows 7 SP1 (X64), Intel Core i or AMD Ryzen with 4 physical cores,8GB RAM,Geforce GTX 970 or AMD Radeon RX 570 with at least 4 GB of VRAM,SDK 120GB,b164a6b5b5d14b95aa212db202f26852
Windows 7 SP1 (X64),Intel Core i or AMD Ryzen with 6 physical cores,16GB RAM,Nvidia GTX 1070 or Radeon RX 580 with at least 6GB of VRAM,SDK 190GB,b164a6b5b5d14b95aa212db202f26852
Windows 7 / 8 / 10 64bit,Intel Core i3 or better,8 Gb,"Nvidia GeForce 560 or better, AMD Radeon series 77XX or better",6 Gb,95afe0e3f3dc43e4b9ebab9c6fc8d276
Windows 7 / 8 / 10 64bit,Intel Core i5 or better,8 Gb,"Nvidia GeForce 1060 or better, AMD Radeon series RX480 or better",6 Gb,95afe0e3f3dc43e4b9ebab9c6fc8d276
Windows 10,Intel Core i5-3570K or AMD FX-8310,8 GB RAM,NVIDIA GeForce GTX 970 or AMD Radeon RX 470,70 GB (SSD recommended),5e0277378de542ce9bf891d2f919d6c8
Windows 7,1.5Ghz,4Gb,Intel HD Graphics,1Gb,f8f9d3387f414d72a90aee4619433177
Windows 10,2.7Ghz,6Gb,"Amd Radeon RX 3k, Nvidia GeForce RTX 3k",2Gb,f8f9d3387f414d72a90aee4619433177
Windows Vista 64-bit or newer,Intel Core i3-2100T @ 2.50 GHz / AMD Phenom II X3 B73, 4 GB RAM,ATI Radeon HD 4850 or NVIDIA GeForce 9600 GT, 14 GB available space,6238fdbc5a0143ccbc8448a8009bcef5
Windows Vista 64-bit or newer,Intel Core i5-2400 @ 3.10 GHz / AMD Phenom II X6 1100T, 8 GB RAM,Radeon HD 7700 or NVIDIA GeForce GTX 570, 14 GB available space,6238fdbc5a0143ccbc8448a8009bcef5
Windows 7 64-bit or newer,Intel Core 2 Quad Q9505 @ 2.80 GHz / AMD Athlon II X4 840 @ 3.10 GHz,6 GB RAM,ATI Radeon HD 5770 or NVIDIA GeForce GTS450 with 1GB VRAM,15 GB available space,8a9ebc1feff6402e9b88839f46ee45ac
Windows 7 64-bit or newer,Intel Core i3-2100 @ 3.10 GHz / AMD Phenom II X4 955 @ 3.10 GHz,8 GB RAM,Radeon HD 6850 or NVIDIA GeForce GTX 560 with 1GB VRAM,15 GB available space,8a9ebc1feff6402e9b88839f46ee45ac
Mac OS X 10.9,X64 Dual Core CPU,2 GB,"Intel HD 4000, GeForce GT 330M, Radeon HD 4670 or equivalent",2 GB,180df8fb19134e5ab77392692f83ba9d
Windows 7/8/10 (64-bit),AMD Athlon II X2 250 / Intel Pentium Dual-Core G645,4 GB,"1 GB VRAM, AMD Radeon HD 5670 / Nvidia GeForce GT 440 / Intel HD 5200",3 GB,22388508a3c34250958b552bf6df3333
Windows 10 (64-bit),AMD Athlon II X3 450 / Intel Core 2 Quad Q6600,8 GB,"2 GB VRAM, AMD Radeon HD 7850 / Nvidia GeForce GTX 660",3 GB,22388508a3c34250958b552bf6df3333
"Windows 7, 8, Windows 10 (64 bit)","Intel Core i5 3570, AMD FX-6350",6 GB,"NVIDIA GTX 660 2GB, AMD Radeon 7850 2GB",15 GB,c445c0b2f1b1449d9a01e6de23839189
"Windows 7, 8, Windows 10 (64 bit)","Intel Core i7-4790, AMD FX-8350",8 GB,"NVIDIA GTX 970 4GB, AMD Radeon R9 290 4GB",15 GB,c445c0b2f1b1449d9a01e6de23839189
"Windows 7, 8, Windows 10 (64 bit)","Intel Core i5 3570, AMD FX-6350",6 GB,"NVIDIA GTX 660 2GB, AMD Radeon 7850 2GB",30 GB,e321199ce26e4922b296c023806ce1fe
"Windows 7, 8, Windows 10 (64 bit)","Intel Core i7-4790, AMD FX-8350",8 GB,"NVIDIA GTX 970 4GB, AMD Radeon R9 290 4GB",30 GB,e321199ce26e4922b296c023806ce1fe
"10.6.8, 32/64-bit",2GHz Dual Core,4 GB RAM,GeForce 600 series or better,2 GB available space,371605cfc34f42c992a42e1d97e6e01b
Latest Mac OS X,2GHz Quad Core,8 GB RAM,GeForce 700 series or better,2 GB available space,371605cfc34f42c992a42e1d97e6e01b
Windows 7,Intel Core i7-3770 or AMD FX-8350,8GB RAM,"NVIDIA GeForce GTX 660, 2 GB or AMD Radeon HD 7870, 2 GB",2GB,5f252d25f24d4187bb9ff8adee44e72d
Windows 10,Intel Core i7-8700 or AMD Ryzen 7 1800x,8GB RAM,"NVIDIA GeForce GTX 1060, 3 GB or AMD Radeon RX 580, 4 GB",2GB,5f252d25f24d4187bb9ff8adee44e72d
Windows 7 64bit or later,Dual core AMD or Intel processor @ 3.0 GHz or faster,4 GB,"GTX 950, AMD R9 280 or newer",27 GB,1f37fe4e0f784f928d2811f44417dacc
"Windows 7, 8, 10",3 GHz Quad Core Processor,8 GB,"DirectX 11 compatible GPU, 4GB dedicated VRAM (GeForce GTX 970 / Radeon RX 480)",10 GB,f100d746e4c74e42b6129dda765c9cd9
Windows 10,4 GHz Quad Core Processor,16 GB,"DirectX 11 compatible GPU, 4GB dedicated VRAM (GeForce GTX 970 / Radeon RX 480)",10 GB,f100d746e4c74e42b6129dda765c9cd9
Microsoft Windows XP/Vista/7/8/8.1 (64-bit)," Intel Core 2 Duo, 3.0GHz or AMD Athlon 64 X2 6400+, 3.2GHz",4 GB,"nVIDIA GeForce GTX 260, 512 MB or ATI Radeon HD 5670, 512 MB (Does not support Intel Integrated Graphics Cards)",4 GB,bf83aee67dd1475fb6bf2c8563f14b70
Microsoft Windows 7/8 (64-bit),"Intel Core i5-3470, 3.20GHz or AMD FX-6300, 3.5Ghz",6 GB,"nVIDIA GeForce GTX 660, 2 GB or AMD Radeon HD 7870, 2 GB (Does not support Intel Integrated Graphics Cards)",4 GB,bf83aee67dd1475fb6bf2c8563f14b70
Windows 7 SP1+,"1.2 Ghz, Pentium 4+",3 GB,DirectX 9.0c compatible with 512 MB,2 GB,a61454cf9fc04689b5a014996712d3f5
Windows 7/8.1/10,2+ Ghz,4 GB,DirectX 9.0c compatible with 1024MB,2 GB,a61454cf9fc04689b5a014996712d3f5
"64-bit processor and operating system: Windows 7SP1, 8, 8.1, 10",Intel Core i3 3.2 Ghz or AMD Phenom II 3.2 Ghz or greater,4 GB,NVIDIA GeForce GTX 460 2GB RAM,1 GB,60e316a2196644e39cbf357b62805068
64-bit processor and operating system: Windows 10,"Intel Core i5 2.67GHz or AMD A6-3670K 2,7 GH",8 GB,NVIDIA GeForce GTX 660 2GB RAM,1 GB,60e316a2196644e39cbf357b62805068
Windows 7,Intel i3-3220 (3.30Ghz),4GB RAM,nVIdia GTX 260 or equivalent,10GB,a020424f6c854cefac41f4af4a0ce69f
Windows 8,Intel i5,4GB RAM,nVidia GTX 560 or equivalent,10GB,a020424f6c854cefac41f4af4a0ce69f
Win 7,Dual-Core Intel i5 CPU @ 2GHz+,4 GB RAM, Intel 4xxx Series w/ 512MB VRAM or better,8GB,f24e1ebf9a054781abc85bc82a2dcbba
Win 10,Intel i7 CPU @ 2.6GHz or higher,8 GB RAM,nVidia GTX 1060+,8GB,f24e1ebf9a054781abc85bc82a2dcbba
"Windows XP, Vista",1.8GHz CPU or higher,512 MB RAM ,"  ATI Radeon 9600 or newer,  NVIDIA GeForce 6100 or newer",1GB available space,cae9b411f608482a9c646f00daac9e46
Windows 10,dual core 2.0GHz CPU or higher ,"1GB RAM XP, 1.5GB RAM Vista or higher","  ATI Radeon X700 or newer,  NVIDIA GeForce 7600 or newer",1GB available space,cae9b411f608482a9c646f00daac9e46
Windows 7 (64bit),3.16Ghz Intel Core 2 Duo E8500,4 GB RAM,1GB (AMD Radeon HD 5550 or Nvidia GeForce GT 430),35 GB available space,d37f3694e7a04edb8347f3cb6320f9d3
Windows 7 (64bit),"AMD: Phenom II X4 955 - 4 Core, 3.2 GHz or Intel: Core 2 Quad Q9650 - 4 Core, 3.0 GHz",8 GB RAM,2GB (AMD GPU: AMD Radeon R9 200 Series or Nvidia GPU: Nvidia GeForce GTX660),35 GB available space,d37f3694e7a04edb8347f3cb6320f9d3
Windows 7 64bit,64bit AMD or Intel made within the last 7 years,4GB,"GeForce 780 / AMD Radeon RX 300. Integrated Intel Graphics can work, but are not officially supported. ",6GB,9ab78d8a6fe84c3f82b31215390f3c51
Windows 10,64bit AMD or Intel made within the last 3 years,16GB,GeForce 900 / AMD Radeon RX 400+ or better,6GB,9ab78d8a6fe84c3f82b31215390f3c51
Requires a 64-bit processor and operating system,"AMD or Intel, 3 GHz (AMD A10 7850K, Intel i3-2000)",8 GB,"AMD/NVIDIA dedicated GPU, 2GB dedicated VRAM (Radeon HD 7870, Geforce GTX 750)",16 GB,1911ccf15b3d4508a6e195b31eee1372
Requires a 64-bit processor and operating system,"AMD or Intel, 3.3 GHz (AMD FX 8300, Intel i5 3000)",16 GB,"AMD/NVIDIA dedicated GPU, 4GB dedicated VRAM (Radeon R9 380, Geforce GTX 960)",16 GB,1911ccf15b3d4508a6e195b31eee1372
"Windows Vista SP2, Windows 7, Windows 8",2 GHz Dual Core CPU,4 GB RAM,"GeForce 400 or higher, AMD Radeon HD 4000 or higher, Intel HD 4000 or higher (DirectX 11 hardware support required)",4 GB available space,a178c2b75e20434696533628d8fdb296
"Windows 7 (64 bit), Windows 8 (64 bit)",2.5 GHz Quad Core CPU,8 GB RAM,"GeForce 500 or higher, AMD Radeon HD 5000 or higher",4 GB available space,a178c2b75e20434696533628d8fdb296
Windows 7, Intel i5 Quad-Core,8 GB RAM,Intel HD 4000,8GB,bfba5c4bab344751b8ab159a48555209
Windows 7 - 64 bit,"Quad-core Intel or AMD processor, 2.5 GHz or faster",4 GB,NVIDIA GeForce 470 GTX or AMD Radeon 6870 HD series,800MB,cd761753fdfa430994f60b512c90b66e
Windows 7 (SP1+)/8.1/10 64bit,Intel i5-2300/AMD FX-4300,8GB,NVIDIA GeForce GTX 1050 (Legacy GPU: GeForce GTX 660) / AMD Radeon 7850 (2GB),8GB,d5a8d607058f4accb71aa406dc8cece0
Windows 7 (SP1+) / 8.1/10 64bit,Intel i7-4770/AMD FX-8350,12GB,NVIDIA GeForce GTX 1060 / AMD RX 480,12GB,d5a8d607058f4accb71aa406dc8cece0
Windows 7,Dual-core 2.5 GHz or equivalent,4 GB,"Dedicated GPU, 1 GB VRAM/ AMD HD5750 or equivalent",2 GB,462844c5fc104812a53792c42d400644
Windows 10,Intel i5-2500K - 3.3Ghz / AMD FX-6350 - 3.9Ghz,8GB (dual channel mode),Nvidia GTX 660 - 2GB / AMD 270x - 2GB / Intel UHD 630,2GB HDD,9df0fa3ae13f47058f396f5613bfe06f
macOS 10.14+,Intel i3 2.0 GHz,2 GB RAM,1GB Shader Model 3.0 Compatible (DirectX 9.0c),1 GB available space,dcf67ef91de64cdf8606b595e9a5d205
64-bit Windows 10 / 8.x / 7,1.8 GHz Intel Core 2 Duo / AMD K10 Dual-Core,4 GB,512 MB DirectX 10.1 Video Card (AMD Radeon HD5x00 Series  / Nvidia GeForce 500 Series / Intel HD 4000 or later),12 GB,5d63b78c08184c10933a47874117db8c
64-bit Windows 10 / 8.x / 7,2.3 GHz Intel Core i5 Processor or Equivalent,6 GB,1 GB DirectX 10.1 Video Card,15 GB,5d63b78c08184c10933a47874117db8c
"Windows 7, 8.1, 10 x64","Intel Core i3-4160 (2 * 3600) or equivalent, AMD Phenom II X4 965 (4 * 3400) or equivalent",8 GB RAM,"GeForce GT 730 (2048 MB), Radeon R7 260X (2048 MB)",2 GB available space,8e83204e859041c899c692ba078c6658
"Windows 7, 8.1, 10 x64","Intel Core i5-2500K (4 * 3300) or equivalent, AMD FX-6350 (6 * 3900) or equivalent",8 GB RAM,"GeForce GTX 660 (2048 MB), Radeon RX 550 (2048 MB)",2 GB available space,8e83204e859041c899c692ba078c6658
Windows 10 (64bit version only),Intel® Core™ i5-6600 / AMD Ryzen™ 5 2500X,8,@1080p NVIDIA GeForce® GTX 1060 6GB / AMD Radeon™ R9 390X (or equivalent with 4 GB VRAM),30,5a9a0a7fd1bd47a8a5c39a903f6c25a1
Windows 10 (64bit version only),Intel® Core™ i5-9600 / AMD Ryzen™ 7 3700X,16,@1080p NVIDIA GeForce® GTX 1660 Ti / Radeon™ RX Vega 56 | @4K NVIDIA GeForce® RTX 2070 / Radeon™ RX 5700 XT,30,5a9a0a7fd1bd47a8a5c39a903f6c25a1
Windows 10 x64,Intel Core i5 or AMD equivalent,8 GB RAM,NVIDIA GTX 460 or AMD equivalent,7 GB available space,5207cdd79e9145d0bbb947c6bd3699a3
Windows 10 x64,Intel Core i5 or AMD equivalent,8 GB RAM,NVIDIA GTX 660 or AMD Radeon HD 7950,7 GB available space,5207cdd79e9145d0bbb947c6bd3699a3
Windows 7,Intel i3 2100 (3.10 GHZ) / AMD Phenom Quad Core 9950 (2.61 GHZ),8 GB RAM,AMD Radeon HD 5750 (1GB) / NVIDIA GeForce GTX 465 (1GB),5 GB available space,12985b3ba6c24b35936aa3c2d80b0678
Windows 10 64 Bit,Intel i3 8100 (3.6 GHz) / AMD Ryzen 3 2200G (3.5 GHz),16 GB RAM,Nvidia GeForce GTX 1060 (3 GB) / AMD Radeon HD 7950 (3 GB),5 GB available space,12985b3ba6c24b35936aa3c2d80b0678
Windows 7,2 GHZ, 4 GB,512MB Video,1 GB,b97dde971aca4341a670456ef323503c
Windows 10,2 GHZ, 4 GB,512MB Video,1 GB,b97dde971aca4341a670456ef323503c
Windows 10 (64bit),Intel Core i5-6600K,6GB RAM,GeForce GTX 750 Ti,4GB,13cc10ad974841a6b0a5c3c23d2d1f22
Windows 10 (64bit),Intel Core i5-6600K,8GB RAM,GeForce GTX 750 Ti,4GB,13cc10ad974841a6b0a5c3c23d2d1f22
"Windows XP, Vista, 7, 8, 10",2GHz,2GB RAM,128MB,1GB,e7946db0d53a418e8cb17a92dd908cd5
"Windows XP, Vista, 7, 8, 10",2GHz,2GB RAM,512MB,1GB,e7946db0d53a418e8cb17a92dd908cd5
OSX 10.9 Mavericks,2 GHz,2 GB RAM,OpenGL 2.0 with ARB or EXT Framebuffer Objects,500 MB available space,12193f976e3342769eb7448cfe19cf02
OSX 10.9 Mavericks,2 GHz,2 GB RAM,OpenGL 2.0 with ARB or EXT Framebuffer Objects,500 MB available space,12193f976e3342769eb7448cfe19cf02
Microsoft® Windows 7,"2.33GHz or faster x86-compatible processor, or Intel Atom™ 1.6GHz or faster processor for netbook class devices",2 GB RAM,DirectX 10 compatible graphics card,1.5 GB Available Space,a9748abde1c94b66aae5250bb9fc5503
Microsoft® Windows 10,"2.33GHz or faster x86-compatible processor, or Intel Atom™ 1.6GHz or faster processor for netbook class devices",8 GB RAM,DirectX 10 compatible graphics card,3 GB Available Space,a9748abde1c94b66aae5250bb9fc5503
Windows XP Service Pack 3,Core 2 Duo 2GHz or equivalent,3 GB,ATI or NVIDIA card w/512 MB RAM,8 GB,1bde6a2f316a4013b35af717249f1191
Windows 10 64bit,Intel ® Core™ i3-4150 or better (Must support AVX),8GB RAM,NVIDIA GeForce® GT430 / AMD Radeon™ HD5570 graphics cards equivalent or better,103GB,f6fb771bec434d1082cc419b9b4b8bfb
Windows 10 64bit,Intel ® Core™ i9-10900,16GB RAM,NVIDIA® GeForce® RTX 2070 SUPER / AMD Radeon™ RX 5700 XT,103GB,f6fb771bec434d1082cc419b9b4b8bfb
"Win7, 8.1, or 10 (64-Bit versions)",Intel Core i5-3570 or AMD Ryzen 3 1300X,8GB,Nvidia GTX 780 3GB or AMD R9 280 3GB,50GB,26c8bec5ae4f44b6b942b9564e81cafc
"Win7, 8.1, or 10 (64-Bit versions)",Intel Core i7-4770 or AMD Ryzen 5 1600X,8GB,Nvidia GTX 1070 8GB or AMD Vega 56 8GB,50GB,26c8bec5ae4f44b6b942b9564e81cafc
Microsoft Windows® 7/8/8.1/10 64bit,Pentium 4 3ghz,1 GB RAM,Nvidia Geforce 7950GT,3 GB,1b07cc6ec13140b385f34e57b4e97e9b
Microsoft Windows® 7/8/8.1/10 64bit,Intel Core i3,4 GB RAM,Nvidia Geforce 710GT,3 GB,1b07cc6ec13140b385f34e57b4e97e9b
Windows 7/8/10 (64 bits),Intel Core i3-2125 (3.3 GHz)/AMD FX-4100 (3.6 GHz),4 GB,"2 GB, GeForce GTX 660/Radeon R7 370",2 GB,623106d906bd4a129de745d52a94ec46
Windows 7/8/10 (64 bits),Intel Core i7-3820 (3.6 GHz)/AMD FX-8350 (4.0 GHz),8 GB,"2 GB, GeForce GTX 760/Radeon R9 280",2 GB,623106d906bd4a129de745d52a94ec46
64-bit Windows 7 / 8 / 10,Intel Core i5-670,4 GB RAM,GeForce GTX650,24.0 GB,71f7b3d1755744e5b85d73b9b32e5831
64-bit Windows 7 / 8 / 10,Intel Core i7 4770k,8 GB RAM,GeForce GTX970,30.0 GB,71f7b3d1755744e5b85d73b9b32e5831
64 bit Windows,Multicore with SSE2 instruction set support,4GB RAM,1GB DX9 (shader model 3.0),1GB,71a3dc24257843ad85ef77d102c2ef12
64 bit Windows,Multicore with SSE2 instruction set support,8GB RAM,1GB DX9 (shader model 3.0),1GB,71a3dc24257843ad85ef77d102c2ef12
Mac OS X 10.6 or later,2Ghz or better,1 GB RAM, 1280x768 minimum resolution,700 MB available space,5d921696022d4bbe850c76be8c9bc98f
Mac OS X 10.6 or later,2Ghz or better,1 GB RAM, 1280x768 minimum resolution,700 MB available space,5d921696022d4bbe850c76be8c9bc98f
"7, 8, 10 (x64)",Intel core i3 (3rd generation),8 GB,GeForce GTX 660,7 GB,8401414902e84f2cb9afa9142f051d32
"7, 8, 10 (x64)",Intel core i5 (4th generation),8 GB,GeForce GTX 1060,7 GB,8401414902e84f2cb9afa9142f051d32
Windows 7/8/10 64-bit,AMD / Intel Dual Core with 3.0 GHz,4 GB,Geforce GTX 460 or Radeon HD 7770 with 2 GB of VRAM,20 GB,78551ede85d5424ba1d28a5f549b5905
Windows 7 64 Bit,Intel Core i3 3.0 GHz,4GB,NVIDIA GeForce GTX 670,2GB,e8f40aec9dbe49d4a3e98a9908382fdb
Windows 10 64 Bit,Intel Core i5 3.4 GHz,8GB,NVIDIA GeForce GTX 760,4GB,e8f40aec9dbe49d4a3e98a9908382fdb
Windows XP SP3,AMD/INTEL DUAL-CORE 2.5 GHZ,2048 MB, 256 MB 100% DIRECTX 9 AND SHADERS 3.0 COMPATIBLE ATI RADEON X1800 GTO/NVIDIA GEFORCE 7600 GT/INTEL HD 3000 OR HIGHER,20 GB,3cca0612b6334f5cb610d1379a39ad6c
Windows 7+,Intel® Core™ i3-3220T @ 2.80GHz / AMD Phenom II X4 820 @ 2.8 GHz,4 GB,NVIDIA® GeForce® GTX 750(2GB VRAM) / AMD Radeon™ Pro 460 (2GB VRAM),5 GB,6e74cc0851a641b8b317cdc743fc6e1d
Windows® 10 64-bit,Intel® Core™ i5-6600K @ 3.5GHz / AMD Ryzen™ 3 2200G @ 3.5GHz,8 GB,NVIDIA® GeForce® GTX 960(4GB VRAM) / AMD Radeon™ Pro 570 (4GB VRAM),5 GB,6e74cc0851a641b8b317cdc743fc6e1d
Windows 10,"X64 Quad Core CPU 2GHz, Intel Core i3-8100",4GB,"Discrete GPU with 2GB VRAM, eg GeForce GTX 660",14GB,9ecd14794cb545d4b857c0ec189393b5
Windows 10,"X64 Quad Core CPU 2GHz, eg Intel Core i5-9600K ",8GB,"Discrete GPU with 4GB VRAM, eg GeForce GTX 1060",20GB,9ecd14794cb545d4b857c0ec189393b5
Mac OS X 10.13+,2.5 GHz dual core,8 GB,Intel HD 4000 or better,1.4 GB,191c05b719474e2fb2f68ff545312b94
Mac OS X 10.13+,2.5 GHz dual core,8 GB,Intel HD 4000 or better,1.4 GB,191c05b719474e2fb2f68ff545312b94
Windows 7 (64-bit),Intel Core i3-6100 or AMD FX-6300,8 GB RAM,NVIDIA GeForce GTX 650 or AMD Radeon HD 6850,5 GB available space,16ca7a26e9274d768771378e152b2d00
Windows 10 (64-bit),Intel Core i5-7400 or AMD Ryzen 1600,16 GB RAM,NVIDIA GeForce 1060 or AMD Radeon RX 570,5 GB available space,16ca7a26e9274d768771378e152b2d00
Windows 10,Dual Core 2.0 GHz or faster,4 GB,"Nvidia GTS 450, AMD Radeon 7750, or newer graphics card",5 GB,a56049eb0dce48e983f48666ccf21c10
Windows 10,Quad Core 2.5 GHz or faster,4 GB,"Nvidia GTX 550Ti, AMD Radeon 540, or newer graphics card",5 GB,a56049eb0dce48e983f48666ccf21c10
Windows 7 64 Bit,Intel i3 8100 (3.6 GHz) / AMD FX 6300 3.5 (GHz),8 GB, NVIDIA GeForce GTX 670 (2GB),2 GB,49f0e99eb9cf4262a5bff73a15335898
 Windows 10 64 Bit,CPU: Intel Core i5 8600K (3.6 GHz),16 GB,Graphics: NVIDIA GeForce GTX 1050 Ti (4 GB),4 GB,49f0e99eb9cf4262a5bff73a15335898
Mac OS X 10.13+,Dual core 2.3 GHz,3 GB,Intel HD 3000 or better,530 MB,d7173e5531f549f1ba523319aceefc53
Mac OS X 10.13+,Dual core 2.3 GHz,3 GB,Intel HD 3000 or better,530 MB,d7173e5531f549f1ba523319aceefc53
Windows 7,i5 and up,4 GB,GTX 960,5 GB,9b68e26505c045759ab603efc2deab23
Windows 10,i7 ~3 Ghz / Ryzen 7,8 GB,GTX 1060,5 GB,9b68e26505c045759ab603efc2deab23
OS X 10.8.5,"1,3 GHz CPU",2 GB,Intel HD Graphics 5500,500 MB,d91c5514b9c04a9bb7be5547f69be3b2
OS X 10.9.1,Dual-core 2Ghz CPU,4 GB,"Intel Iris Pro, NVIDIA GTX 660 Ti, or AMD Radeon HD 7870 w/ 1024 MB",1 GB,d91c5514b9c04a9bb7be5547f69be3b2
Windows 7/8.1/10 x64,ntel Core i5-760 (4 * 2800) or equivalent / AMD Athlon II X4 645 AM3 (4 * 3100) or equivalent,4 GB RAM,GeForce GTX 460 (1024 MB) / Radeon HD 6850 (1024 MB),3 GB available space,0e854f777abf42bda3f244491bd5a31c
Windows 7/8.1/10 x64,ntel Core i5-760 (4 * 2800) or equivalent / AMD Athlon II X4 645 AM3 (4 * 3100) or equivalent,4 GB RAM,GeForce GTX 460 (1024 MB) / Radeon HD 6850 (1024 MB),3 GB available space,0e854f777abf42bda3f244491bd5a31c
"64-bit Windows 7, Windows 8.1, Windows 10","Intel Core i5 3570, AMD FX-6350",8 GB,"NVIDIA GTX 660 2GB, AMD Radeon 7850 2GB",35 GB,6b42c7ed7e574e54bdef8e77f71d9333
Windows 7 (64-bit),Intel Core i3-530,4 GB,NVIDIA GeForce GTX 470,5 GB available space,000f9a594ed44b3981272946d330d968
Windows 10 (64-bit),Intel Core i5,8 GB,NVIDIA GeForce GTX 760,10 GB available space,000f9a594ed44b3981272946d330d968
Windows 7 / 8 / 10 64 bit,2.0 GHz CPU,4 GB,Intel HD 4000 or equivalent with 1 GB VRAM,10 GB,c4f3c186c273404695ac6639c272b195
Windows 7,"Intel Core i5-3330 3.0 GHz, AMD FX-8300 3.3 GHz",4 GB,"NVIDIA GeForce GTX 1050Ti, Radeon RX 560",6 GB,ca85810710fc4b858d73e059f0b169a5
