id,operacional_system,processor,memory,graphics,fk_game_id
Windows 8 (64 bit),Intel Core i3 or equivalent,4 GB RAM,Vulkan support (Nvidia GeForce 600 series / AMD Radeon HD 7000 series / Intel HD Graphics 500 series),4 GB available space,0fffb527a35441b08505c018dc1812bd
Windows 10 (64 bit),Intel Core i5 or equivalent,8 GB RAM,Vulkan support with 3 GB VRAM (Nvidia GeForce 900 series / AMD Radeon RX 400 series),8 GB available space,0fffb527a35441b08505c018dc1812bd
Windows 8/10 64-bit,Intel® Core™ i3-2105 or AMD® Phenom™ II X3 720,8 GB RAM,Nvidia® GeForce™ GTX 560 Ti or AMD® ATI Radeon™ HD 5870 (1 GB VRAM),10Gb available space,6facf48048214c1da860471aed400932
Windows 8/10 64-bit,Intel® Core™ i5-4460 or AMD® FX-4300,16 GB RAM,Nvidia® GeForce™ GTX 1060 or AMD® Radeon™ R9 390X (3 GB VRAM),10Gb available space,6facf48048214c1da860471aed400932
Windows 10 (64-bit only),Ryzen 3 1200 - 3.1 Ghz / i5-4460 - 3.2 Ghz,8 GB (Dual-channel mode),AMD R9 380 - 4GB / GeForce GTX 960 4GB,50 GB HDD (SSD Recommended),d6b4c22c5360465aaf3d9a0161fad210
Windows 10 (64-bit only),Ryzen 5 1600 - 3.2 Ghz / i7-4790 - 3.6 Ghz,8 GB (Dual-channel mode),AMD RX 570 - 8GB / GeForce GTX 1060 - 6GB,50 GB HDD (SSD Recommended),d6b4c22c5360465aaf3d9a0161fad210
Windows 7/8/10 64-bit,Quad Core CPU (4 x 2Ghz),6 GB RAM,Nvidia GTX 470/AMD R7 240,25 GB available space,7b002177046841a69da1adc0e1d0c98f
Windows 7/8/10 64-bit,Intel Core i7-3770K Quad Core CPU or better / AMD FX 4350 Quad Core CPU or better,8 GB RAM,Nvidia GTX 770 / AMD Radeon R9 280X,25 GB available space,7b002177046841a69da1adc0e1d0c98f
Windows 10 x64,Intel(R) Core(TM) i5-4460 or AMD equivalent,8 GB RAM,"GeForce GTX 960 or AMD equivalent, 4 GB VRAM",30 GB available space,bb0b588fed4c43f8bb048f2a5955341b
Windows 10 x64,Intel(R) Core(TM) i7 8700k or AMD equivalent,16 GB RAM,"GeForce RTX 2060 or AMD equivalent, 4 GB VRAM",30 GB available space,bb0b588fed4c43f8bb048f2a5955341b
