id,operacional_system,processor,memory,graphics,fk_game_id
Windows 10 (64-bit),Ryzen 5 3600X  / Intel Core i5-9500F,16 GB,AMD RX Vega 56 8GB / GTX 1070 8GB,30 GB,3e7a695d0c9444a9b7b0edd55d041ec2
Windows Vista SP1,Dual Core CPU,2GB,"Intel HD 4000, GeForce GT 330M, Radeon HD 4670 or equivalent",4GB,acf310edb3ea419f8771b81e02532e30
Windows 10,Quad Core CPU,4GB,"GeForce 560 or higher, AMD Radeon HD 5830 or higher",4GB,acf310edb3ea419f8771b81e02532e30
Windows XP 32,Dual Core CPU,2GB,"Geforce 7800, AMD HD 4600, Intel HD3000 or similiar",5GB,2a3b4d632bc4417fa21f4e1ace254218
Windows 10,Quad Core CPU,4GB,"GeForce 560 or higher, AMD Radeon HD 5800 or higher",5GB,2a3b4d632bc4417fa21f4e1ace254218
Windows 7 64-bit or higher,Dual Core CPU,4GB,"Intel UHD 620, GeForce GT 930MX, AMD R7 240 or equivalent",2GB,09846ff4dda3466f9a8bddbe07c22727
Windows 10  64-bit,Quad Core CPU,8GB,"GeForce 1050 or higher, AMD Radeon RX 560 or higher",2GB,09846ff4dda3466f9a8bddbe07c22727
"Windows 7 (with Aero), Windows 10 (Windows 8 is currently unsupported)",1.66GHz Intel i5 or equivalent,1GB,Intel HD Graphics 4000,746MB,d686c3337ea8406f81f13902078501fc
Windows 10,2.0 GHz Intel i7 or equivalent,4GB,"NVIDIA GeForce GTX 660, AMD HD 7870, 2 GB VRAM or above",2048MB,d686c3337ea8406f81f13902078501fc
64 bit Windows 7,Intel Core i5-2500K 3.3GHz / AMD FX-8150 3.6GHz or equivalent,4 GB,GeForce GTX 550 Ti / Radeon HD 6790 2GB VRAM*,4 GB,372da11a5c6443ddab674b2eee8ce2d4
64 bit Windows 10 / 8,Intel Core i5-4460 3.2 GHz / AMD Ryzen 5 1600X 3.6GHz,8 GB,GeForce GTX 960 / Radeon HD 7950 3GB VRAM*,4 GB,372da11a5c6443ddab674b2eee8ce2d4
Windows 8.1/10,Intel i5-3470 / AMD FX-8300,6 GB RAM,NVIDIA Geforce GTX 660 / Radeon HD7870,13 GB,f6d665930cc34c34ac69cfe52906a723
Windows 8.1/10,Intel i7-6700 / AMD Ryzen 5 2600,8 GB RAM,NVIDIA Geforce GTX 1060 / Radeon RX580,13 GB,f6d665930cc34c34ac69cfe52906a723
Windows 7 SP1+,2.4GHz or faster,2 GB RAM,512 MB Graphic Memory,600 MB Available Space,42153c278e574c9687fc5e8db2ca6ab5
Windows 10,"Intel Core i5-4570, 3.2 GHz or AMD - FX6300",4 GB RAM,"GeForce GTX 760, 2 GB or Radeon R9 380, 4 GB",3 GB,de64d1994fb54d638b2c9a1afae7bbd3
Windows 10,Intel Core i5-8400 or AMD Ryzen 5 2600,8 GB RAM,"GeForce GTX 1060 3GB or Radeon RX 480, 8 GB",3 GB,de64d1994fb54d638b2c9a1afae7bbd3
Windows 7,1.7 GHz Dual Core or faster,1 GB,"DirectX 10 compatible, 256 MB VRAM",2 GB,d2efc84967d14f738395068fafa85b9a
Windows 10,2.2 GHz Dual Core or faster,2 GB,"DirectX 10 compatible, 512 MB VRAM",3 GB,d2efc84967d14f738395068fafa85b9a
Windows 10,Intel Core i5-3570K or FX-8310,8GB,NVIDIA GeForce GTX 760 or AMD RX 470,15GB,82b6c15d49f54a4685ee826f6c26c0a9
Windows 10,Intel Core i7-4970 or AMD Ryzen 3200G,12GB,NVIDIA GeForce GTX 1060 6GB / GTX 1660 Super or Radeon RX 590,15GB,82b6c15d49f54a4685ee826f6c26c0a9
