id,operacional_system,processor,memory,graphics,fk_game_id
Windows 10,"Quad Core Processor, 3 GHz or faster",8 GB RAM,Nvidia GeForce GTX 970,10 GB available space,ffd4758294444d308f6660a30ca5abb0
Windows 7,Intel Core i3 or equivalent AMD,4 GB RAM,"NVIDIA GeForce GTX 460, AMD Radeon HD 6770 with at least 1 GB VRAM",8 GB ,a4733ca90bc14d548e3435bd5ff6c9fb
Windows 10,Intel Core i5 or equivalent AMD,8 GB RAM,"NVIDIA GeForce GTX 560, AMD Radeon HD 7790",8 GB ,a4733ca90bc14d548e3435bd5ff6c9fb
macOS 10.11,Intel Processor,8 GB,1280x768 display (1280×768 display requires fullscreen mode),8 GB,3b5eb79d550c4657b2fe6bad90d055d5
Windows Vista,2.0 GHz Dual Core,2 GB RAM,NVIDIA GT 460 or AMD Radeon HD 5550 w/ 1024 MB, 1 GB available space,c02a2852de1d4596b2bc30280b9cfe9e
Windows 8.1,2.4 GHz Intel i5,4 GB RAM,NVIDIA GTX 660 Ti or AMD Radeon HD 7870 w/ 1024 MB, 1 GB available space,c02a2852de1d4596b2bc30280b9cfe9e
Windows 8,i3 Sandy Bridge Dual Core or Equivalent,4 GB,NVIDIA GeForce GTX 660,2 GB,a340133282e740289cc85703132a4293
Windows 10,Intel(R) Сore (TM) i5-4440,16 GB,GeForce GTX1050 Ti,2 GB,a340133282e740289cc85703132a4293
Windows 7 / 8 / 8.1 / 10,i3 4th generation / i5 2nd generation / A6 series,4 GB,Intel HD 4000 / AMD Radeon 5800 series / nvidia 550Ti,7 GB,d9a84a15512f4c8ca30363c5d1a06833
Windows 7 / 8 / 8.1 / 10,i3 5th generation (or newer) / i5 3rd generation (or newer) / FX4170 (or newer),8 GB,AMD Radeon 8000 series or newer / nvidia GTX 660 or newer,7 GB,d9a84a15512f4c8ca30363c5d1a06833
Windows 7,"Intel i3 (4th Generation) or equivalent AMD, min. 2.0 GHz",8 GB,Nvidia GeForce GTX 960 or equivalent AMD,7 GB,e60a95176c36428e948cd26c9c67377c
Windows 10,"Intel i5 (4th Generation) or equivalent AMD, min. 2.4 GHz",16 GB,Nvidia GeForce GTX 1060 or equivalent AMD,7 GB,e60a95176c36428e948cd26c9c67377c
Windows 7 64-bit,Intel Core i3-3220 3.3 GHz,4GB RAM,GeForce GTX 470 or AMD Radeon HD 7850,25GB,408e1dacff9c4ddabecb93b1e6183db9
Windows 10 64-bit,Intel Core i5-4670 or AMD A10-7850k,8GB RAM,GeForce GTX 980 VRAM 4GB or AMD Radeon R9 390X,25GB,408e1dacff9c4ddabecb93b1e6183db9
"Win 7, 8, 10",Intel: Core i3-530  AMD: A6-3650  ARM: not supported,2GB,NVidia: GeForce 560  AMD: Radeon HD 6950  Intel: Intel UHD ,16GB HDD,03db40cd9db54c5babac9ca6bdb2fe91
Win 10,Intel: Core i5-3300  AMD: Ryzen 3 1200  ARM: not supported,4GB,NVidia: GeForce 9600GT  AMD: HD 6570  Intel: Intel HD 4600 Integrated Graphics,16GB HDD,03db40cd9db54c5babac9ca6bdb2fe91
"Win 7, 8, 10",Intel: Core i3-530 AMD: A6-3650 ARM: not supported,2GB,NVidia: GeForce 9600GT AMD: HD 6570 Intel: Intel HD 4600 Integrated Graphics,16GB HDD,e880a70ecac84bc185fea9d354a157cc
Win 10,Intel: Core i5-3300 AMD: Ryzen 3 1200 ARM: not supported,4GB,NVidia: GeForce 560 AMD: Radeon HD 6950 Intel: Intel UHD 630 Integrated Graphics,16GB SSD,e880a70ecac84bc185fea9d354a157cc
Windows 7,Intel Core 2 Duo E8400 | AMD Phenom II X2 550,4 GB RAM,"Nvidia GeForce GTS 250, 1 GB | ATI Radeon HD 5670, 1 GB",2 GB available space,dd9e02507b284532bf57b3b485a1596d
Windows 10, Intel Core i5-2300 | AMD FX-4350,4 GB RAM,"Nvidia GeForce GTX 560, 1 GB | AMD Radeon HD 6950, 2 GB",2 GB available space,dd9e02507b284532bf57b3b485a1596d
macOS 10.13.6 or Higher,Intel Core 2 Duo - 1.8 GHz+,4GB RAM,"Intel GMA X4500, NVIDIA GeForce 9600M GT, AMD/ATI Mobility Radeon HD 3650 - 256MB VRAM",7GB,385e723a8854456da61b9dd9bc542513
Windows 10 64bit (min version 1809),Intel i5-4590/AMD FX 8370,8GB,(4GB VRAM) NVIDIA GeForce GTX 1050Ti (Legacy GPU: GeForce GTX 960) / AMD Radeon RX 470,14GB,47dfc9b69a9f44a5a47fa3d182f4d599
Windows 10 64bit (min version 1809),Intel i7-5775C/AMD Ryzen 5 1500X,12GB,(6GB VRAM) NVIDIA GeForce GTX 1070 / AMD RX 570 (8GB),14GB,47dfc9b69a9f44a5a47fa3d182f4d599
Windows 7 64-bit,Intel i3 530 @2.93 GHz/AMD Phenom II X4 805 @2.5 GHz,4GB,Nvidia Geforce GTX 780 @3GB/AMD Radeon HD 7970 @3GB,15GB,e73c6b914a394bbface8847d75879492
Windows 10,Intel i3 530 @2.93 GHz/AMD Phenom II X4 805 @2.5 GHz,4GB,Nvidia Geforce GTX 780 @3GB/AMD Radeon HD 7970 @3GB,20GB,e73c6b914a394bbface8847d75879492
Windows 7,Intel Pentium Dual CPU E2180 2.00GHz,2 GB,GeForce 600M / ATI Radeon HD 5450 (1GB),500 MB,c40fb8828f6b45e1ac511f2cc5db9dc2
Windows 10,TBD,4 GB,TBD,500 MB,c40fb8828f6b45e1ac511f2cc5db9dc2
Windows 10 64-bit,Intel i3 Skylake | AMD FX-6000,8GB,AMD Radeon R7 260X | NVIDIA GeForce GTX 750 Ti,4GB,bb04b2f296104e32b70df72c2ce0634b
Windows 10 64-bit,Intel i5 Coffee Lake | AMD Ryzen 3,8GB,AMD Radeon RX 570 | NVIDIA GeForce GTX 970,4GB,bb04b2f296104e32b70df72c2ce0634b
Windows 10,Intel i5-10400F,8GB,Radeon RX 570,5 GB,8f58067d08bb454ab0eb8907345b8c76
Windows 10,Intel i7-10700K,8GB,NVIDIA GTX 1080,5 GB,8f58067d08bb454ab0eb8907345b8c76
Requires a 64-bit processor and operating system,"Intel Core i5-2300, AMD A8-5600k",8GB,Radeon Vega 8 / Intel Iris Plus / Geforce GTX 650 / Radeon HD 7770 (2GB VRAM Required),15GB,47f7eae1eb544562986e3081400d1764
Requires a 64-bit processor and operating system,"Intel Core i3-6100, AMD FX-8120",8GB,"Geforce GTX 660Ti, Radeon HD 7950",15GB,47f7eae1eb544562986e3081400d1764
Windows 7 or higher 64 bit,Intel Core i5 2ghz or AMD equivalent,4 GB RAM,NVIDIA GeForce 650 or higher with 1GB memory,12 GB available space,42cc3b0d2bd7413db19fc3d8dcee436a
Windows 10,Intel Core i7 or AMD equivalent,8 GB RAM,NVIDIA GeForce 1060 or higher/AMD equivalent,12 GB available space,42cc3b0d2bd7413db19fc3d8dcee436a
Windows 7,Intel Core 2 Duo E4500 @ 2.2GHz or AMD Athlon 64 X2 5600+ @ 2.8 GHz,2 GB RAM,GeForce 240 GT or Radeon HD 6570,3 GB available space,0cd43717a2224f33bb9a95f01d303474
Windows 7 or newer,Intel Core 2 Quad Q9550 @ 2.8 GHz or AMD Phenom II X4 955 @ 3.2 GHz,4 GB RAM,GeForce GTX 650 Ti or Radeon HD 7790,3 GB available space,0cd43717a2224f33bb9a95f01d303474
Windows 10 (64 Bit),Intel Core i5-2300 | AMD FX-4350,8 GB,Nvidia GeForce GTX 760 | Equivalent Radeon card,10GB,b8bf369a354e4a01b01d61d750b1bc6d
